Date,Open,High,Low,Close,Volume,Market Cap
19-Feb-18,"1,483.34","1,553.81","1,483.34","1,534.77","578,906,000","25,179,700,000"
18-Feb-18,"1,552.10","1,641.40","1,428.49","1,487.46","907,873,000","26,344,200,000"
17-Feb-18,"1,548.48","1,568.64","1,517.14","1,551.39","641,719,000","26,280,100,000"
16-Feb-18,"1,373.16","1,558.66","1,369.68","1,552.20","961,010,000","23,302,000,000"
15-Feb-18,"1,358.65","1,400.71","1,330.18","1,375.81","502,454,000","23,053,300,000"
14-Feb-18,"1,229.18","1,384.06","1,229.18","1,362.27","629,852,000","20,854,300,000"
13-Feb-18,"1,285.23","1,289.42","1,205.73","1,231.98","442,663,000","21,803,000,000"
12-Feb-18,"1,222.43","1,302.66","1,222.43","1,283.91","466,213,000","20,735,400,000"
11-Feb-18,"1,255.59","1,306.20","1,197.87","1,217.64","651,555,000","21,295,600,000"
10-Feb-18,"1,311.99","1,394.81","1,215.72","1,257.31","734,606,000","22,249,700,000"
9-Feb-18,"1,273.87","1,342.41","1,206.39","1,312.11","1,133,760,000","21,601,200,000"
8-Feb-18,951.57,"1,345.20",951.57,"1,284.56","2,203,710,000","16,133,900,000"
7-Feb-18,971.08,"1,040.49",902.49,957.96,"866,222,000","16,462,900,000"
6-Feb-18,890.97,978.91,764.02,974.53,"777,420,000","15,103,100,000"
5-Feb-18,"1,159.89","1,172.70",839.95,887.41,"568,117,000","19,659,800,000"
4-Feb-18,"1,273.17","1,286.98","1,101.31","1,165.38","656,034,000","21,577,500,000"
3-Feb-18,"1,194.23","1,314.43","1,072.83","1,272.50","453,101,000","20,237,400,000"
2-Feb-18,"1,272.50","1,272.50",980.78,"1,191.14","896,666,000","21,561,700,000"
1-Feb-18,"1,491.12","1,503.30","1,214.88","1,274.35","678,020,000","25,263,200,000"
31-Jan-18,"1,470.74","1,522.87","1,406.25","1,486.89","729,209,000","24,915,700,000"
30-Jan-18,"1,657.69","1,662.07","1,468.17","1,470.55","649,823,000","28,079,700,000"
29-Jan-18,"1,745.36","1,763.24","1,638.33","1,657.14","362,213,000","29,561,500,000"
28-Jan-18,"1,636.41","1,762.34","1,636.41","1,746.25","580,544,000","27,713,300,000"
27-Jan-18,"1,602.50","1,665.81","1,567.78","1,628.63","441,742,000","27,136,100,000"
26-Jan-18,"1,637.19","1,678.63","1,500.37","1,603.90","594,667,000","27,720,500,000"
25-Jan-18,"1,661.04","1,707.70","1,611.04","1,642.12","522,194,000","28,121,300,000"
24-Jan-18,"1,622.15","1,703.34","1,575.42","1,639.13","488,161,000","27,460,200,000"
23-Jan-18,"1,623.14","1,700.34","1,504.72","1,621.46","578,984,000","27,473,700,000"
22-Jan-18,"1,794.46","1,815.42","1,525.50","1,621.92","681,350,000","30,370,200,000"
21-Jan-18,"2,033.70","2,033.70","1,733.99","1,776.64","745,179,000","34,415,500,000"
20-Jan-18,"1,784.26","2,124.45","1,780.45","2,032.12","1,116,240,000","30,191,500,000"
19-Jan-18,"1,740.17","1,870.78","1,723.87","1,769.62","743,247,000","29,442,200,000"
18-Jan-18,"1,752.27","1,893.47","1,696.25","1,756.75","1,024,060,000","29,643,600,000"
17-Jan-18,"1,767.58","1,875.08","1,361.02","1,748.05","1,457,730,000","29,899,500,000"
16-Jan-18,"2,406.86","2,406.86","1,555.97","1,772.07","1,704,030,000","40,708,800,000"
15-Jan-18,"2,541.58","2,576.13","2,328.31","2,401.54","1,412,360,000","42,983,500,000"
14-Jan-18,"2,687.10","2,746.61","2,490.04","2,553.32","993,310,000","45,439,500,000"
